n_ary,n_subset,strat_10,strat_25,strat_50,random_1,random_2,random_3,pairwise,fast_exact
RR,3599,0.07711482048034668,0.03767514228820801,0.039713144302368164,0.003373861312866211,0.003282308578491211,0.0032644271850585938,16.96267533302307,8.13182520866394
RR,1180,0.014388799667358398,0.015765905380249023,0.015822649002075195,0.003205537796020508,0.003144502639770508,0.0031380653381347656,1.7658164501190186,3.590790033340454
RR,4025,0.060431718826293945,0.060547590255737305,0.062098026275634766,0.003302335739135742,0.003225088119506836,0.003206491470336914,20.813551902770996,8.490810871124268
RR,2358,0.03633928298950195,0.037972211837768555,0.03673911094665527,0.0032088756561279297,0.003158092498779297,0.003179788589477539,7.04943060874939,5.628652811050415
RR,1610,0.025272846221923828,0.022861242294311523,0.026605606079101562,0.0032672882080078125,0.0031554698944091797,0.0031692981719970703,3.265613555908203,4.213412523269653
RR,4025,0.0582430362701416,0.05861067771911621,0.061705589294433594,0.0033364295959472656,0.0032341480255126953,0.0031957626342773438,20.915516138076782,8.54051160812378
RR,1147,0.012322187423706055,0.012662649154663086,0.014347553253173828,0.0032465457916259766,0.003167390823364258,0.003156900405883789,1.654212236404419,3.4080240726470947
RR,4268,0.04662442207336426,0.04414653778076172,0.04627633094787598,0.003278970718383789,0.0032699108123779297,0.0031807422637939453,23.323241710662842,9.041579961776733
RR,4141,0.06041145324707031,0.059714555740356445,0.06203746795654297,0.0032668113708496094,0.003171682357788086,0.003171682357788086,21.857388734817505,8.92192554473877
RR,1635,0.02553248405456543,0.022821426391601562,0.02640843391418457,0.003198862075805664,0.003152608871459961,0.0031626224517822266,3.3416502475738525,4.305988550186157
RR,2951,0.032399654388427734,0.03118586540222168,0.03044915199279785,0.003292560577392578,0.0032002925872802734,0.0031766891479492188,11.037896871566772,6.600697040557861
RR,2208,0.0238645076751709,0.023154020309448242,0.024486303329467773,0.003252267837524414,0.00319671630859375,0.003170490264892578,6.201313257217407,5.403075695037842
RR,4979,0.05008697509765625,0.048586368560791016,0.05192303657531738,0.0032813549041748047,0.0031762123107910156,0.0031800270080566406,31.690242290496826,10.534952640533447
RR,1277,0.013614416122436523,0.013530731201171875,0.016294479370117188,0.003232717514038086,0.0031757354736328125,0.0031588077545166016,2.046792984008789,3.6582088470458984
RR,4435,0.0507047176361084,0.04556846618652344,0.04676961898803711,0.0032689571380615234,0.0031888484954833984,0.003172159194946289,25.05035424232483,9.782943487167358
RR,4585,0.04715991020202637,0.0455472469329834,0.04816436767578125,0.003338336944580078,0.0032219886779785156,0.003189563751220703,26.725162744522095,9.396118402481079
RR,1890,0.021906375885009766,0.022678852081298828,0.023830890655517578,0.0032896995544433594,0.0032486915588378906,0.0032320022583007812,4.857189416885376,5.615855932235718
RR,2593,0.03161191940307617,0.025987863540649414,0.02837824821472168,0.003229379653930664,0.0031762123107910156,0.0031833648681640625,8.54103136062622,5.956610918045044
RR,3760,0.03769707679748535,0.037331342697143555,0.04017162322998047,0.0032563209533691406,0.003191232681274414,0.0031540393829345703,18.019084453582764,8.307034254074097
RR,4335,0.04798126220703125,0.046166181564331055,0.04719257354736328,0.003290891647338867,0.003200531005859375,0.0031795501708984375,23.906635284423828,9.042981147766113
RR,4064,0.042092323303222656,0.04119062423706055,0.04372453689575195,0.003329038619995117,0.003242015838623047,0.0033876895904541016,21.55659532546997,8.806005716323853
RR,2772,0.02962470054626465,0.029549121856689453,0.03221750259399414,0.0032591819763183594,0.0031714439392089844,0.003139972686767578,9.759613990783691,6.179555892944336
RR,2314,0.03538680076599121,0.0325927734375,0.034833669662475586,0.0032529830932617188,0.0031838417053222656,0.003170013427734375,6.774344205856323,5.54642653465271
