n_ary,n_subset,strat_10,strat_25,strat_50,random_1,random_2,random_3,rdkit,fast_exact
JT,4176,0.056100298595126344,0.048550078283552754,0.05819733116928157,0.05366711963212902,0.060878165449955786,0.04600303232129246,0.05542433551583793,0.04705021034052344
JT,4647,0.07159909385066898,0.07695694341256427,0.07690017145978813,0.07227729253785796,0.07974825242858613,0.08390555946120452,0.0790487825024993,0.12138011330950729
JT,4393,0.08964392641800782,0.09362430199553928,0.09301174760578218,0.08990845879939764,0.08898572540231554,0.10095415403849307,0.0946367218738645,0.14902769255475784
JT,1187,0.062418013823681597,0.055216034537944984,0.05719324280624086,0.05920302544574713,0.05804819866768738,0.05831407543912161,0.06154688714543372,0.09405759468314456
JT,3466,0.05793565387536464,0.05615091284318914,0.05419062849279139,0.05366258629391222,0.054165067660913176,0.04990944162367252,0.05609183998519235,0.08213656241527659
JT,1892,0.06557289130472246,0.058545993748042924,0.061103185188884024,0.06492903708410531,0.06284749748307222,0.06310546745603844,0.06299617212699568,0.09668828811170474
JT,3699,0.16452861017330148,0.16511132261284245,0.16377076596758652,0.16455398162274262,0.1769714840560524,0.13666987286060797,0.1638859792565918,0.25089806202464743
JT,4520,0.12881915766391594,0.13566989888734998,0.13316108410842373,0.12369828653460348,0.13122640932548874,0.13045771414093174,0.13468584277154777,0.21517689355267608
JT,2295,0.026816290660729363,0.02404308792104897,0.02257134058068747,0.01966236770373615,0.021207482078250354,0.02735803595637972,0.024116572887218232,0.021011435966721264
JT,3756,0.03773305478923694,0.03830726107515075,0.03907869717925973,0.039356796385518075,0.04601199298695119,0.04665771024802512,0.04236292253450878,0.05282207823804982
JT,3790,0.07534156276965889,0.08686344556658301,0.0842809750358632,0.08930434713481064,0.08799266488085622,0.08114810812787256,0.08580238380894745,0.1297247601270984
JT,4925,0.04137662349576514,0.03590491835219721,0.04286787801797118,0.03528987534335968,0.038025111324068064,0.039658836658792176,0.03806702679027782,0.037917388852098374
JT,3935,0.03703101698207885,0.038243151583076895,0.03809685475024965,0.036496767277143356,0.04918333665278621,0.03922252285694778,0.039626074057043735,0.050155201457368265
JT,3730,0.04082831571792683,0.03794883308643375,0.04379050998190212,0.04612307725749931,0.03880556152707755,0.04395005924043638,0.0451300707766532,0.048767701422432905
