n_ary,n_subset,strat_10,strat_25,strat_50,random_1,random_2,random_3,rdkit,fast_exact
JT,1000,0.10218552780190476,0.10185108921803589,0.10244973123279674,0.10820380914294254,0.10874196677603463,0.10993482041436015,0.10303025521265169,0.1599165663328205
JT,2000,0.038587713674778375,0.0359498681832454,0.039569409836398665,0.04086681433946895,0.03748471215160177,0.04392036494685446,0.04182431677575427,0.0499437229282175
JT,3000,0.0673841860710296,0.06587547141627265,0.06846123824464392,0.0721270823807544,0.06999089789621893,0.06640620059659315,0.06727834390822961,0.1061603089108937
JT,4000,0.06616503217977815,0.06558398318984057,0.06670568360824566,0.0706489352966964,0.0683210261438622,0.07010502818810138,0.06773499948242323,0.09887144100687809
JT,5000,0.053520463916621915,0.05224545905879155,0.05421584297287435,0.050998199132533575,0.04860522370146155,0.05562474762186888,0.052692831670011465,0.0739122191124084
JT,6000,0.06845643521722986,0.0765664372597564,0.07569320253229908,0.07461403265496944,0.08009958794687147,0.0702677051753625,0.07653639552947439,0.11853057853144601
JT,7000,0.056014476833868954,0.04425132857216245,0.04520562087554282,0.04789942767938317,0.04774289972285451,0.043415699006147786,0.045251675427858615,0.06066985216303655
JT,8000,0.03976832317076174,0.0416353904068162,0.040686996538896826,0.04210545946051173,0.038795540395532825,0.03926693903640442,0.04223834208777862,0.05470940286777146
JT,9000,0.13540067144344342,0.14749416616763564,0.14407134711523722,0.10963694016441257,0.1381594173561173,0.14950097138883103,0.1445587693096328,0.22714534235734707
JT,10000,0.06320265480391522,0.0620901814433967,0.06382345332247329,0.062100112409225326,0.05961133844058967,0.05765741761111785,0.06216105498692559,0.09706069348021655
JT,11000,0.0516657946379313,0.053543895780506855,0.05372947852648704,0.0477693087417775,0.05736942565322075,0.05370300160276414,0.053762202601467614,0.0758859221656573
JT,12000,0.03749162876455174,0.03760744006346597,0.03794650007272932,0.043844905571802865,0.04313332371077288,0.037358349222558415,0.03999367769628617,0.05104439261966565
JT,13000,0.07672978958183961,0.07089065179670866,0.07160530894273483,0.07158079517223137,0.07278957632367598,0.07607926455090107,0.07011837704699511,0.11049288391302854
JT,14000,0.03612969850656383,0.03753833665678389,0.0356944296327508,0.03424571503107346,0.050081682781500915,0.03831927745510291,0.0391244912562593,0.03131740874405959
JT,15000,0.03603216668646353,0.04973458969055976,0.045993793005748754,0.05617288606098897,0.0540661846674856,0.047136265836481984,0.04936037221373993,0.062337531888825674
JT,16000,0.10916468515936195,0.12146231143361666,0.12056600196327445,0.13038409855430141,0.09549028641387428,0.1338638386312866,0.12368386943674384,0.20055348425270583
JT,17000,0.06921436404697139,0.06978437253226111,0.07073600191166987,0.06671685127334201,0.06446413934029604,0.06816196219040185,0.06723742422354273,0.10653314811402981
JT,18000,0.04716973918380543,0.05203846462182171,0.04985922106450669,0.0526468923085163,0.046874103373815264,0.056228598980328955,0.05205598536983526,0.07403342037235594
JT,19000,0.05690998635719589,0.050061280740153404,0.048992766791926184,0.05003234518493437,0.04677389419529062,0.04755060751465047,0.04978223497420996,0.06961067786699462
JT,20000,0.06237643125691273,0.04087092890485385,0.04564488337806639,0.04453027825590346,0.04755023856852691,0.046458780149316765,0.04562183403258711,0.060337176558790145
JT,21000,0.05208193752336194,0.05588757722318381,0.05269841345326884,0.052194409917261805,0.0517901479880245,0.055662411595298944,0.05276745559570892,0.07560119324348277
JT,22000,0.07521995576993654,0.07309438762487394,0.07364665142659205,0.06670133051797751,0.0809411041811457,0.07662901208002261,0.07281800913298483,0.1184362468477034
JT,23000,0.05575677815545933,0.04249672611094687,0.04721643527607585,0.044629324606600455,0.04391036667226932,0.04931163211678755,0.047656395071214885,0.06046456522537528
JT,24000,0.0667582275413167,0.052361764046745106,0.05352835896738128,0.06464074977777279,0.05122522849155903,0.051965536040628986,0.05284050944044047,0.07463532773501469
JT,25000,0.06064896306496942,0.06194201129494224,0.06347477695153607,0.0620094600151293,0.05831696462961331,0.06117460037235126,0.06316932345703,0.09140662378814375
JT,26000,0.08570376763527189,0.08981249581408346,0.08785635047263046,0.0666777613061466,0.09153791705578775,0.08976063813932693,0.08933627756723614,0.14246568319815195
JT,27000,0.05771917452993805,0.05020528892430034,0.05465378990288655,0.0513711904802446,0.0548782490377149,0.05327863476648475,0.05343860488379756,0.07484227956505468
JT,28000,0.0601984412050049,0.06627170625041848,0.06564568636821631,0.06129321153527064,0.06820420564234916,0.06592635264202426,0.06593227685307114,0.10031558500817032
JT,29000,0.04983910509296597,0.048670242014871336,0.0493437992500356,0.0500997284567281,0.050574699854265805,0.04668412283083911,0.051158674895318744,0.0716685461170791
JT,30000,0.11889757352337166,0.12953979809250243,0.12728325587246964,0.13731810515681203,0.10630845760606875,0.11860218515283509,0.12905767472547944,0.20034396569389007
JT,31000,0.16993478032427994,0.17737922685148408,0.17678824374904428,0.1946241620377498,0.19088776717086894,0.16172481043925607,0.17818955248478682,0.24414441149123847
JT,32000,0.043096653477825576,0.04266375024627741,0.0431603965980463,0.044253575305170274,0.04651282330969314,0.041169531261309025,0.045445275161733176,0.05963119108689337
JT,33000,0.06772492914794796,0.06684947392177072,0.06832596573153704,0.05986791935145834,0.07197630368382857,0.0681321301777023,0.07074507207734854,0.11272074720889493
JT,34000,0.05469675845111887,0.04834318167031862,0.049271939743692476,0.04343036501276802,0.04590789306221706,0.040558283930083525,0.04338893282476482,0.05213400376867203
JT,35000,0.040426606846256326,0.04192154063674445,0.041477199317833856,0.043116606073688744,0.04176283022810991,0.04993999226872466,0.04301181604718178,0.053079906528403276
JT,36000,0.05029605427046571,0.052081192702309445,0.04787280378112858,0.04869159908947008,0.047916532857838756,0.045660072285372645,0.05056293913767772,0.06290622763825356
JT,37000,0.08558057832891079,0.08183404358886874,0.08167529141993604,0.08674404497415023,0.0836924296244155,0.07988603693710201,0.08315700611601005,0.13629135344624946
JT,38000,0.03528223190593103,0.041232766756823504,0.03841077034928428,0.038165796497319604,0.03988564229827529,0.036419197058829164,0.04035512719395606,0.04954178102575053
JT,39000,0.047374604907932806,0.04332693719337945,0.041218655765477945,0.04278920313595435,0.04107711375888021,0.04075446879512085,0.04281394100452111,0.05085749619815963
JT,40000,0.06941695360881951,0.0820317499648118,0.07991284182629975,0.07679524148618637,0.0827365247866625,0.07842634147021522,0.07924820097940068,0.11908898598640669
JT,41000,0.04868747886767945,0.048968451872721114,0.05272254831140194,0.05353917085077245,0.049310475238119975,0.05305018258639065,0.05273275274155065,0.07540054429867242
JT,42000,0.0804141615155613,0.08539716547336547,0.08587251412552274,0.085112506023069,0.08305969945828302,0.07176335853198876,0.08700140729699271,0.13193654935303856
JT,43000,0.038399308998594346,0.043513915188920074,0.04465690386629949,0.04246393682764876,0.04286017987859355,0.04733429004320459,0.043618991490077,0.058232374287293616
JT,44000,0.04984091521894207,0.04846040381480099,0.04943996106277906,0.05253059507274404,0.05350204502487986,0.04971757907798851,0.05206382317535442,0.07329282823108628
JT,45000,0.04259764926222238,0.04915385126250918,0.04743146842849168,0.04614298491012641,0.04882978864735234,0.04910455278365308,0.050877062111255686,0.06281861942859941
JT,46000,0.06497311364576544,0.07152070122184281,0.07028775910623539,0.06719445770793968,0.07327542783420832,0.07286777388008463,0.07157347462714608,0.10756861371572764
JT,47000,0.034439849741640584,0.033955427417898795,0.03545772644123015,0.039250887392499365,0.03719974248985875,0.032471521515989546,0.03684604630661678,0.028896432349674515
JT,48000,0.1393896210222166,0.15043551367562719,0.1486794129880328,0.15578557407250038,0.1326677997641109,0.15291702149404499,0.14973796626561817,0.21270068681645218
JT,49000,0.05824019112284595,0.04719348553342755,0.04752023297278283,0.0485250281577072,0.049580579748495515,0.04853851531414432,0.050030260169110184,0.06890910176186403
JT,50000,0.03463060187841593,0.039739593827088464,0.04501457842746368,0.032903958804094725,0.033932441878526204,0.03680399361676262,0.03839993350055995,0.03304098792721878
