n_ary,n_subset,strat_10,strat_25,strat_50,random_1,random_2,random_3,pairwise,fast_exact
SM,1022,0.0626521110534668,0.020190000534057617,0.0261533260345459,0.009070634841918945,0.009054183959960938,0.00906229019165039,3.7978756427764893,18.376344442367554
SM,1816,0.03857874870300293,0.03832101821899414,0.044278860092163086,0.00902867317199707,0.009060382843017578,0.009020805358886719,12.088377475738525,25.93362331390381
SM,3281,0.07580018043518066,0.06641483306884766,0.07419323921203613,0.009069204330444336,0.009026527404785156,0.00906991958618164,39.5530903339386,39.257428884506226
SM,3432,0.07905054092407227,0.07633829116821289,0.07780075073242188,0.009226799011230469,0.009071826934814453,0.009171485900878906,43.54102659225464,40.6675124168396
SM,1843,0.038776397705078125,0.036416053771972656,0.04216814041137695,0.009286880493164062,0.009047508239746094,0.009063005447387695,12.578527450561523,26.169300317764282
SM,1526,0.0368952751159668,0.0366060733795166,0.04240608215332031,0.009065628051757812,0.009069442749023438,0.009060144424438477,8.601125955581665,22.9890296459198
SM,4982,0.12764358520507812,0.12623214721679688,0.1375579833984375,0.008967876434326172,0.008927583694458008,0.008931875228881836,91.89419746398926,54.53860116004944
SM,1338,0.030156373977661133,0.03142595291137695,0.03824281692504883,0.009032011032104492,0.008991241455078125,0.008986473083496094,6.57031774520874,21.112743139266968
SM,2445,0.06094980239868164,0.0632927417755127,0.07081174850463867,0.009345531463623047,0.009077072143554688,0.009000062942504883,21.94133234024048,31.47441554069519
SM,1208,0.027820587158203125,0.03005838394165039,0.03602910041809082,0.009065628051757812,0.009076595306396484,0.009076595306396484,5.348809480667114,19.823920726776123
SM,4613,0.1176307201385498,0.11261963844299316,0.12026619911193848,0.009288787841796875,0.009305477142333984,0.009144306182861328,78.90853261947632,51.1075975894928
SM,3543,0.09100222587585449,0.09172987937927246,0.09482574462890625,0.009035348892211914,0.009024858474731445,0.009052038192749023,46.05150246620178,41.70977973937988
SM,4973,0.10356473922729492,0.10317802429199219,0.11001729965209961,0.009106636047363281,0.009047508239746094,0.009173870086669922,91.21214890480042,54.27993583679199
SM,2381,0.05200958251953125,0.048212528228759766,0.055176496505737305,0.009015083312988281,0.008990287780761719,0.008996248245239258,20.62026882171631,31.037984609603882
SM,4367,0.09188246726989746,0.09024548530578613,0.09701848030090332,0.009054183959960938,0.009008646011352539,0.009013891220092773,69.8881585597992,48.927788496017456
SM,1093,0.021861791610717773,0.024529457092285156,0.0303347110748291,0.009047508239746094,0.0090484619140625,0.008968591690063477,4.370286464691162,18.718882083892822
SM,1886,0.03778505325317383,0.03574180603027344,0.04840731620788574,0.009023427963256836,0.008977174758911133,0.008970022201538086,12.995153665542603,26.61202836036682
SM,2177,0.04288792610168457,0.05018210411071777,0.052350759506225586,0.009009361267089844,0.008985280990600586,0.008980751037597656,17.198801517486572,29.197766542434692
SM,4424,0.09200310707092285,0.09117913246154785,0.1029505729675293,0.008983135223388672,0.008991003036499023,0.00899505615234375,71.35931706428528,49.487945795059204
SM,2628,0.06286048889160156,0.057161808013916016,0.06241440773010254,0.009302377700805664,0.009068489074707031,0.00916910171508789,25.529630184173584,33.329392194747925
SM,2455,0.05205106735229492,0.05572843551635742,0.05752968788146973,0.00912332534790039,0.009186029434204102,0.00913548469543457,22.003628730773926,31.759599447250366
SM,3909,0.08534502983093262,0.08251953125,0.08767867088317871,0.009215354919433594,0.009105682373046875,0.009104013442993164,56.20390343666077,44.989715576171875
SM,1004,0.02008199691772461,0.02033376693725586,0.02740764617919922,0.009066104888916016,0.009074926376342773,0.009060144424438477,3.688843011856079,17.843665599822998
SM,1173,0.022133588790893555,0.02509474754333496,0.03279900550842285,0.008985757827758789,0.00897216796875,0.008980512619018555,4.987814903259277,19.2352397441864
SM,4439,0.09036636352539062,0.09164118766784668,0.10026192665100098,0.009087324142456055,0.009062767028808594,0.009038925170898438,72.29877591133118,49.63741183280945
SM,2393,0.05312371253967285,0.050275325775146484,0.060678720474243164,0.00923609733581543,0.009193897247314453,0.009154319763183594,20.77692484855652,31.218852996826172
SM,1688,0.033618927001953125,0.03513789176940918,0.04027819633483887,0.009085416793823242,0.009063243865966797,0.009099245071411133,10.494701862335205,24.406987190246582
SM,1677,0.03634190559387207,0.03589010238647461,0.044328927993774414,0.009058713912963867,0.009107112884521484,0.009071111679077148,10.348389625549316,24.53605341911316
SM,1284,0.023905515670776367,0.02494025230407715,0.03424692153930664,0.009172439575195312,0.009141206741333008,0.009099245071411133,6.0579283237457275,20.698266744613647
SM,1149,0.020954608917236328,0.023635149002075195,0.030741214752197266,0.009036779403686523,0.009090423583984375,0.009107351303100586,4.8380889892578125,19.343096017837524
SM,1297,0.025610685348510742,0.0262911319732666,0.03269362449645996,0.009130239486694336,0.009082555770874023,0.009114980697631836,6.097609281539917,20.79227924346924
SM,1071,0.020368576049804688,0.02132248878479004,0.027971982955932617,0.009092569351196289,0.009006261825561523,0.009064912796020508,4.193855047225952,18.321443796157837
SM,4203,0.09216785430908203,0.08842635154724121,0.09907817840576172,0.009143590927124023,0.009052515029907227,0.009080648422241211,64.6341769695282,47.45360445976257
SM,1516,0.03572344779968262,0.03231024742126465,0.03836560249328613,0.009035348892211914,0.009071111679077148,0.009061336517333984,8.382297277450562,22.904691696166992
SM,1606,0.036745309829711914,0.03285837173461914,0.03984999656677246,0.009108781814575195,0.00906682014465332,0.009125471115112305,9.535037279129028,23.759483575820923
SM,4163,0.08789253234863281,0.08707022666931152,0.09281706809997559,0.009261846542358398,0.009095430374145508,0.009108304977416992,63.632712602615356,47.15142750740051
SM,3636,0.07623887062072754,0.0789947509765625,0.0838923454284668,0.009198665618896484,0.009180307388305664,0.009128570556640625,48.64499640464783,42.297107458114624
SM,4417,0.09145545959472656,0.09005308151245117,0.09818840026855469,0.009025812149047852,0.009284257888793945,0.009371519088745117,71.36777973175049,49.3123779296875
SM,1798,0.0317995548248291,0.03385806083679199,0.0401458740234375,0.009085416793823242,0.009129047393798828,0.00928497314453125,11.891351222991943,25.723201513290405
SM,3311,0.07266664505004883,0.06871843338012695,0.07539820671081543,0.009115934371948242,0.009109258651733398,0.009142637252807617,40.32217860221863,39.38727831840515
SM,2294,0.04992866516113281,0.04707694053649902,0.05426645278930664,0.009076595306396484,0.009058237075805664,0.009041070938110352,19.02193260192871,30.21081781387329
SM,2915,0.06531977653503418,0.06082582473754883,0.06824398040771484,0.009094953536987305,0.009054899215698242,0.008999347686767578,31.18631362915039,35.65183448791504
SM,4664,0.0925440788269043,0.09356498718261719,0.10070610046386719,0.00904083251953125,0.009018659591674805,0.008982181549072266,79.76775884628296,51.34326505661011
SM,1260,0.026768207550048828,0.0256803035736084,0.0325472354888916,0.009018421173095703,0.008971214294433594,0.008989095687866211,5.774701833724976,20.24271535873413
SM,1948,0.047328948974609375,0.0481877326965332,0.054607391357421875,0.009019851684570312,0.009008169174194336,0.009018182754516602,13.83752703666687,27.02735471725464
SM,2678,0.05694174766540527,0.05660867691040039,0.061113595962524414,0.009042024612426758,0.00904703140258789,0.009020566940307617,26.24502396583557,33.64122557640076
SM,4646,0.09612178802490234,0.10402154922485352,0.10366344451904297,0.009063720703125,0.009120941162109375,0.009133100509643555,79.28514361381531,51.71790552139282
SM,2477,0.05575871467590332,0.05234813690185547,0.058542490005493164,0.009127378463745117,0.009134531021118164,0.009101390838623047,22.401421785354614,31.848817586898804
SM,2645,0.053705453872680664,0.05487227439880371,0.06102132797241211,0.009329557418823242,0.009068012237548828,0.009124517440795898,25.41200065612793,33.502121925354004
SM,3658,0.07879638671875,0.07572698593139648,0.08268618583679199,0.009061098098754883,0.009046316146850586,0.009020090103149414,48.918171405792236,42.529024600982666
SM,2623,0.05580282211303711,0.05492353439331055,0.06195950508117676,0.009047508239746094,0.009016036987304688,0.009026527404785156,25.11831784248352,33.078277349472046
SM,3660,0.09171152114868164,0.07582616806030273,0.08288455009460449,0.00905609130859375,0.009061336517333984,0.009020805358886719,49.14209961891174,42.82126235961914
SM,1393,0.02678084373474121,0.028674840927124023,0.034882545471191406,0.009096384048461914,0.009087085723876953,0.009055614471435547,7.0385353565216064,21.44430112838745
SM,1660,0.039965152740478516,0.0402071475982666,0.05422711372375488,0.00901651382446289,0.009012937545776367,0.009145975112915039,9.985161542892456,24.3101704120636
SM,3919,0.09908556938171387,0.10250115394592285,0.10530805587768555,0.009458303451538086,0.009186983108520508,0.009128808975219727,56.571635007858276,45.00857591629028
SM,3546,0.08762693405151367,0.08946084976196289,0.0965111255645752,0.009122848510742188,0.009096622467041016,0.00907588005065918,46.42817234992981,41.731082916259766
SM,2774,0.07113075256347656,0.06976437568664551,0.07683110237121582,0.009090900421142578,0.009053468704223633,0.009060859680175781,28.297627687454224,34.67769813537598
SM,1799,0.041929006576538086,0.04170823097229004,0.047590017318725586,0.009703636169433594,0.009231090545654297,0.009212255477905273,11.852065086364746,25.715681552886963
SM,4512,0.11325240135192871,0.11334466934204102,0.11988949775695801,0.009147405624389648,0.009106159210205078,0.009109020233154297,75.49815821647644,50.4001247882843
SM,2337,0.05669856071472168,0.04966282844543457,0.06053876876831055,0.009334802627563477,0.00932621955871582,0.009281158447265625,21.135883331298828,30.890132665634155
SM,3121,0.29722142219543457,0.06790804862976074,0.07504057884216309,0.00921940803527832,0.009149312973022461,0.00917196273803711,36.53551411628723,37.70392608642578
SM,2107,0.0520329475402832,0.05778861045837402,0.06007552146911621,0.009410619735717773,0.009427070617675781,0.009237289428710938,16.25817108154297,28.595984935760498
SM,4795,0.11898636817932129,0.12165212631225586,0.1269834041595459,0.009214162826538086,0.00920867919921875,0.009183883666992188,85.71027874946594,53.00504422187805
SM,2283,0.056592464447021484,0.05976724624633789,0.0643014907836914,0.009316682815551758,0.009461402893066406,0.009447336196899414,18.893583297729492,30.15443253517151
SM,4009,0.10233020782470703,0.10114288330078125,0.10736846923828125,0.00926661491394043,0.00920414924621582,0.009267807006835938,58.35679912567139,45.719661712646484
SM,2720,0.07188057899475098,0.06722235679626465,0.07740068435668945,0.009234189987182617,0.009180307388305664,0.009221553802490234,27.428550004959106,34.204416275024414
SM,3813,0.08535289764404297,0.08031082153320312,0.08633828163146973,0.00914907455444336,0.009142637252807617,0.009173154830932617,53.888155460357666,44.05137300491333
SM,2929,0.07777142524719238,0.07362103462219238,0.07955241203308105,0.009409189224243164,0.009201765060424805,0.009208440780639648,31.62275218963623,35.958247423172
SM,3224,0.08443045616149902,0.0827338695526123,0.0892035961151123,0.009217262268066406,0.009140253067016602,0.009148836135864258,38.575565814971924,38.67103958129883
SM,1383,0.03362298011779785,0.03422737121582031,0.039772987365722656,0.009160280227661133,0.009036540985107422,0.009071588516235352,6.983807325363159,21.632736206054688
SM,4117,0.1060631275177002,0.10510468482971191,0.11349272727966309,0.009376764297485352,0.009343624114990234,0.00932765007019043,61.6905460357666,46.803302526474
