n_ary,n_subset,strat_10,strat_25,strat_50,random_1,random_2,random_3,rdkit,fast_exact
RR,3762,0.029838529816572108,0.02831100163484357,0.02924848780876043,0.02961266877910222,0.027354953026118397,0.027077991852701763,0.02862151537149885,0.028621515371498856
RR,3578,0.02620201196240591,0.027932728943397468,0.028637554442078512,0.028163642339205104,0.027395493241253895,0.027722005728720366,0.028745456832806316,0.028745456832806302
RR,3085,0.03588126959294381,0.0358904535590907,0.036293320410136685,0.03553702201478575,0.03657062181418442,0.03529382080746573,0.03751256393724028,0.03751256393724026
RR,4036,0.050128956495162164,0.05557738133961522,0.055331102284810994,0.055175787669879524,0.05304584954132888,0.05288053841098978,0.05546661485294259,0.05546661485294258
RR,1547,0.09938373833668321,0.10343792897648005,0.1038060467105624,0.10352873667052238,0.10261201503532763,0.10714156393117788,0.10492073984400592,0.10492073984400589
RR,2970,0.022743050378696932,0.02423568620160511,0.021776274041585164,0.022852691572850987,0.022564630279121558,0.02196267930351258,0.021954951617627,0.021954951617627002
RR,1951,0.027626499869010696,0.027143711328211754,0.028089120551370243,0.026304341340285056,0.026682110390588053,0.02820571897185096,0.027980268726407225,0.02798026872640723
RR,1470,0.024318509963879475,0.024192739431240104,0.024084455376800366,0.02430405480466111,0.024501637255939852,0.023181106677484256,0.024261502770993724,0.024261502770993718
RR,3313,0.15092054399508417,0.15725939593523228,0.15780303076031135,0.16433952419522235,0.15697814696690882,0.1569863243463287,0.15885577190649836,0.15885577190649838
RR,1516,0.052063916013012794,0.05475605125023974,0.055986919456583774,0.05691570894903046,0.05165545998456514,0.05380844365181603,0.056579602095300774,0.056579602095300774
RR,3152,0.029498933481085527,0.025875476793860715,0.027153585092473825,0.025619200349726555,0.02547344174676323,0.029016515679844482,0.027369955592636084,0.027369955592636084
RR,2531,0.016907819344507347,0.017873062998074108,0.01800355865290922,0.017223753849493234,0.01548228657451318,0.01727465952160316,0.017288249689941852,0.01728824968994185
RR,2250,0.02891567357915289,0.03060122351953326,0.030110443895233138,0.027545989721246833,0.031647281631907685,0.030726485305084584,0.03006208362105719,0.0300620836210572
RR,2526,0.0896146274419903,0.09529136986318608,0.09518075327543819,0.08746612713550633,0.09550978912344552,0.09034495352089972,0.0964929900810815,0.09649299008108148
RR,2446,0.01941466094065789,0.01744518133329486,0.01740273405728906,0.015733174341968876,0.01628537686091914,0.01470781329353487,0.01645437151223726,0.016454371512237262
RR,2282,0.032305580705505536,0.03258996408382316,0.033192565038124226,0.03265092280742653,0.0327815761286622,0.03194309263892472,0.034025941429629586,0.034025941429629586
RR,1989,0.01524496021695749,0.014325247280197557,0.014243528476148492,0.013781588008696721,0.015362878269387802,0.01395286121773616,0.014747406389802362,0.014747406389802367
RR,3036,0.07114698160979484,0.07561720388422173,0.0742475038050535,0.07447902323202407,0.07551994010999234,0.07543405690692408,0.07552481716665958,0.07552481716665961
RR,3991,0.06799065053156901,0.07299343783352162,0.07413463900469387,0.07531302648981553,0.07302972490532961,0.07535076845205252,0.07463527250623793,0.07463527250623787
RR,2099,0.06624600892271121,0.0704349719751028,0.06999455055400708,0.06776105798750895,0.07010627560184582,0.0720369799560035,0.06977449209082288,0.06977449209082287
RR,1272,0.1071659518944741,0.11165407024336248,0.11002851029712025,0.1160068828341788,0.11209904700314906,0.11725961694117466,0.11094130422048926,0.11094130422048926
RR,2552,0.07220882715407455,0.07687545445419006,0.07647915912125647,0.07964439992357089,0.08198765260824369,0.08009695464042342,0.0775594664721782,0.07755946647217819
RR,4833,0.06575063870718796,0.07166089982842917,0.0713101630609177,0.06862036467908124,0.06969554469295997,0.0682526535397655,0.07212460111513021,0.0721246011151302
RR,2097,0.10616131352244908,0.11182010343270561,0.11122412964248843,0.11474167467351244,0.1126245263419772,0.11374813251689207,0.11222613677172386,0.11222613677172386
RR,3473,0.030222602071081343,0.03169518520902292,0.03183079816902591,0.031438158753298195,0.03248696385812359,0.03193031198896869,0.032162315291114525,0.032162315291114525
RR,1028,0.03401240825636636,0.03739736042074776,0.037682665144370235,0.03561712055525728,0.03633961651133862,0.035690034579046334,0.037481153871958856,0.03748115387195887
RR,3310,0.06327733639844217,0.06314286055909407,0.0627430177113824,0.06128835085819707,0.06690976493784735,0.05895412698899163,0.0634090729576158,0.06340907295761579
RR,4357,0.03716250536877577,0.039710435589503205,0.038367477098741935,0.038940012839087795,0.039107808682894964,0.03734811020995648,0.03923903995470574,0.03923903995470573
