n_ary,n_subset,strat_10,strat_25,strat_50,random_1,random_2,random_3,rdkit,fast_exact
SM,1000,0.03158065864796023,0.03415375674975437,0.03576882839308545,0.03860030564326082,0.03440040457831707,0.035624105313104296,0.03554635718916793,0.035546357189167994
SM,2000,0.07002753051084679,0.0743132696059301,0.07244851785739079,0.06443744296898923,0.08398327727539606,0.08057904205798154,0.07324033730507414,0.07324033730507408
SM,3000,0.06177294152812486,0.0674235039989753,0.06760358329837558,0.06723121765461211,0.07017619834389183,0.06868601792781731,0.0678536640891297,0.06785366408912971
SM,4000,0.0241788339982544,0.027412516804531637,0.02806979809859836,0.03004474329942687,0.028258498913766212,0.029760296499619816,0.03140666968981382,0.03140666968981379
SM,5000,0.03736326933862417,0.03918939269310172,0.03927684535200815,0.04081302391236888,0.03671587156035539,0.03476323799783975,0.03774831332916129,0.03774831332916129
SM,6000,0.035465879468858034,0.0359463680217102,0.03659224842946738,0.039426254048013254,0.03742077247797438,0.03514469499024611,0.03687286358697527,0.03687286358697528
SM,7000,0.030780082900925203,0.027667164441881702,0.0293998244320988,0.028748350202994728,0.027457994075241573,0.0334295101246426,0.028131076459964075,0.028131076459964086
SM,8000,0.03374318246310972,0.025897903347372526,0.03046862650978763,0.028243176746113388,0.0238616131487103,0.028576361672400238,0.02946551288551911,0.02946551288551912
SM,9000,0.03894002065839036,0.04111531847539879,0.03583305601187678,0.035417854837254646,0.033870758161628794,0.034872558989038877,0.036187143219703864,0.036187143219703885
SM,10000,0.037350801276777354,0.0324028037076075,0.03319430853039678,0.030033350673504225,0.03233237992287394,0.03128964770051999,0.032868132550610885,0.03286813255061095
SM,11000,0.029157582639508618,0.03554838571843192,0.03447701445701094,0.03642252724991399,0.03443776603020798,0.03368946231174656,0.0352243792779195,0.0352243792779195
SM,12000,0.033021114583048364,0.03088586044635987,0.03053157735512936,0.027694135913587735,0.03519080297996838,0.03250415652107515,0.032571918150431624,0.03257191815043166
SM,13000,0.08532205664334692,0.08131670862452071,0.08120091923413594,0.0937706056920872,0.07736414020049202,0.09334423624802775,0.08173169111780788,0.08173169111780781
SM,14000,0.03517231473451124,0.02983043753210693,0.03188665574276805,0.028698128364377906,0.028431371179802534,0.032286196351429236,0.030690499386293094,0.030690499386293098
SM,15000,0.027254568591717085,0.03043876785607328,0.030133289923787922,0.02941596851309948,0.025049354234293067,0.02852986763425238,0.030511809111698533,0.03051180911169842
SM,16000,0.029060696032265406,0.02989020867331137,0.030235058648134076,0.027723415417348428,0.025739059093577814,0.027062989519561393,0.027652142583962445,0.027652142583962425
SM,17000,0.028320154520100022,0.031097429612636996,0.029069348880646138,0.030639197233559307,0.027734927232859367,0.032377571027977205,0.03155336999018135,0.0315533699901813
SM,18000,0.022804494350129847,0.029813449072331674,0.02854136919317505,0.02709994117139247,0.030055172578090865,0.02469315453016318,0.02933934266350452,0.029339342663504443
SM,19000,0.05389611474321298,0.045975942291510294,0.047368752067402736,0.041104386447973644,0.04502232569854693,0.04111226774938475,0.04366213970805544,0.04366213970805546
SM,20000,0.02901805984742998,0.025234328179042066,0.025850518310348045,0.031362042171821695,0.026759848586088777,0.026556886810309006,0.028525414983504187,0.028525414983504183
SM,21000,0.08593868918404209,0.09049457820437204,0.08873656703850548,0.07773212740155189,0.08228225499018954,0.07953388607231772,0.08841315007032989,0.08841315007032986
SM,22000,0.032486471782202736,0.0298307314755769,0.02906326455782603,0.03113102657567565,0.031178514822830163,0.027972916302426785,0.031099657873714912,0.031099657873714864
SM,23000,0.04206815215668142,0.030658329929311178,0.03267536423443102,0.03294886420690941,0.03331719725783286,0.027888720348878324,0.03103162782853335,0.031031627828533363
SM,24000,0.04983697380794036,0.05064887751358192,0.050538678713197206,0.04728195212315731,0.04996179994792914,0.04509992297377908,0.05051337073738773,0.05051337073738759
SM,25000,0.12835444369869228,0.13157861932512852,0.13074158831387853,0.12569903328711787,0.11873515985937927,0.14920954693316157,0.13095469685046388,0.13095469685046388
SM,26000,0.03330388357677785,0.035797121395404786,0.036711824750611764,0.03458720442533217,0.03516623064370445,0.03291568823959712,0.03470847572395615,0.034708475723956224
SM,27000,0.07895580265698293,0.0872531186663475,0.08523142221186376,0.08127674623928606,0.07395551002481245,0.09123043261610296,0.08599995404631443,0.08599995404631426
SM,28000,0.0315144667344784,0.03479789921715339,0.03319328981712754,0.033475257630333544,0.031690567180790476,0.0314038594504514,0.033892224548456015,0.033892224548455946
SM,29000,0.03627972484775006,0.03453236113496769,0.03554586419063278,0.03259840922596943,0.03615858195769486,0.03886227946479417,0.03547425522614801,0.03547425522614806
SM,30000,0.05970361700718674,0.05554593003916805,0.054934051748778384,0.05581333673439384,0.055622703318782954,0.04931851408769246,0.055819253667568174,0.05581925366756815
SM,31000,0.03722417038711047,0.03353993444925786,0.03612395433957211,0.0351683630999555,0.03665766859574759,0.03264039476108223,0.03599999435378883,0.035999994353788985
SM,32000,0.024730006217661155,0.02679323814928863,0.02726514521568468,0.030910828697084253,0.04188650203361884,0.03175321632078913,0.028794315510369654,0.028794315510369654
SM,33000,0.11422128526408058,0.12007020468489865,0.11988919204945174,0.11219130133212556,0.13816597909510017,0.116135700318439,0.1201251719503276,0.12012517195032793
SM,34000,0.030368812266064756,0.03456395307095836,0.03669123822665155,0.03277660621720256,0.03405561383287519,0.02987912655093733,0.03445679962389461,0.03445679962389469
SM,35000,0.020994352519853154,0.026167668803274646,0.025368308894905447,0.025918691008770717,0.027707882976397164,0.03173369167198996,0.02792106155465426,0.02792106155465426
