n_ary,n_subset,strat_10,strat_25,strat_50,random_1,random_2,random_3,rdkit,fast_exact
SM,1022,0.027792303737744058,0.028693994160561998,0.0305862653872613,0.027723089557693665,0.03659971141217262,0.0355393478811797,0.03181058421152889,0.0318105842115289
SM,1816,0.03215764443953869,0.02786612818348266,0.029618357951411038,0.030876510415493167,0.030832993101413787,0.027466798923581583,0.03183082319776434,0.03183082319776437
SM,3281,0.1239023803602698,0.12972019895563622,0.12838244240032015,0.10804092868550184,0.10804600439977144,0.14742256090905861,0.12950460054043575,0.12950460054043575
SM,3432,0.05252045929652675,0.04899081577029933,0.04951932716003866,0.04763710043077946,0.04831802166247128,0.04754457828893963,0.048525144820721906,0.04852514482072194
SM,1843,0.03784736532170641,0.043519402246242456,0.045264795471715386,0.041711349799599035,0.044210546052444066,0.04031826024750037,0.0440776858983917,0.044077685898391686
SM,1526,0.033081309938091205,0.04093658472126727,0.03099993015484445,0.029740054641974368,0.035832643144200295,0.03154016867803419,0.03167151797821185,0.0316715179782118
SM,4982,0.03958772333797691,0.04183864020822701,0.03962547272351379,0.03512714625185829,0.04091561866904074,0.04631446623671833,0.040667518180787544,0.040667518180787565
SM,1338,0.05657450942469555,0.05843131700741016,0.05619433674311378,0.06668345620110841,0.061234570427202165,0.046622408677413074,0.0568129706513749,0.05681297065137491
SM,2445,0.03931261554122946,0.04369367879778903,0.042493201887645216,0.04083313462753067,0.04162361964436575,0.03902648850264316,0.043133678151658916,0.043133678151658944
SM,1208,0.061259868938776496,0.06649890799329089,0.06495903500294481,0.05548803027414938,0.06499281338426839,0.07398278977786076,0.06419713238113947,0.06419713238113947
SM,4613,0.040523263276749315,0.03951871516574612,0.041190859507727814,0.03555009823284649,0.03909590498685874,0.043094071584847134,0.041608193437753585,0.04160819343775354
SM,3543,0.07587607831361547,0.07244829789771434,0.0705846562951807,0.07725134606591043,0.06692634180323655,0.06542351722955045,0.07179464480326059,0.07179464480326057
SM,4973,0.03260084600017582,0.02925904784504,0.031949235275759505,0.02957073867854244,0.0370996646188274,0.03005094784939056,0.03175047584322901,0.031750475843229035
SM,2381,0.04406017439282649,0.030612998565744128,0.02956088795715953,0.029256640774656062,0.031084920055008614,0.027060286265371977,0.030851801424822498,0.03085180142482253
SM,4367,0.030889501112764298,0.027100382793643057,0.028337780020905028,0.02902911476417886,0.025509523829518408,0.031117177895292374,0.02931849889642116,0.029318498896421245
SM,1093,0.036796597524248034,0.03414903992419915,0.03256515885068563,0.03240378902209863,0.03226754773912649,0.03156594560353143,0.033063443832446554,0.0330634438324466
SM,1886,0.08087654033951686,0.09096512464122827,0.08799445421563738,0.097207794299784,0.08898752342160497,0.06899336868589959,0.08954787527965148,0.08954787527965147
SM,2177,0.03495854635893218,0.03187518533224775,0.03109887417073262,0.03204593881796209,0.03743370460347909,0.034223750000055855,0.03186398059717492,0.031863980597174914
SM,4424,0.029359613251050392,0.02935752168302766,0.03296757449589126,0.029104522798398296,0.03064087214536628,0.03332697355373461,0.03199922773063718,0.03199922773063715
SM,2628,0.052489505102330566,0.0534596511904349,0.05176202541683771,0.0488564139926347,0.0554841277639245,0.04630225417552816,0.05135005490120304,0.051350054901203084
SM,2455,0.11416295887334459,0.12243881877599816,0.11938555471008463,0.12024383036286736,0.1331450550031255,0.13499611341676873,0.1203439454241196,0.12034394542411953
SM,3909,0.058525672579023504,0.05783376345076008,0.05660655560732526,0.058018448856408236,0.05093633904261841,0.06514507354045529,0.05780927688882999,0.05780927688883001
