n_ary,n_subset,strat_10,strat_25,strat_50,random_1,random_2,random_3,rdkit,fast_exact
RR,1000,0.05352516800811846,0.05687282711810915,0.0555654051737988,0.051607766907933464,0.055260490315635694,0.056505677950848376,0.055896544845264066,0.05589654484526406
RR,2000,0.07850427113766993,0.08495484867030807,0.08415755302669113,0.08210821968652032,0.08844155228122597,0.0822798039644174,0.08536375138982949,0.0853637513898295
RR,3000,0.048776298691693434,0.05042605667314189,0.05099223903991175,0.04792910375211342,0.05040546480615292,0.050347899021616266,0.05118210922768605,0.051182109227686075
RR,4000,0.03349021797200675,0.025361018521085448,0.020709491419210538,0.02072616095623182,0.01988337960677026,0.018508824649503857,0.019979131963855586,0.019979131963855562
RR,5000,0.016172049146010233,0.018153792272756084,0.017230478925939555,0.018274414458418282,0.017374947018011486,0.016805243101267305,0.017412696966749137,0.01741269696674914
RR,6000,0.0657622680679165,0.06967266432332209,0.0703998892479896,0.07205172039027237,0.07184117980219593,0.07110880909408829,0.07035469519346065,0.07035469519346058
RR,7000,0.07571246509128181,0.08131331847372927,0.08052857040183757,0.07877994344974736,0.0740818317925585,0.08268920362536035,0.08116507604766578,0.08116507604766572
RR,8000,0.07444595272124167,0.07570051992067903,0.0754322811221811,0.07723117208975658,0.07658608672109163,0.07079363715837084,0.07549815486793518,0.07549815486793518
RR,9000,0.03578086869687897,0.03544230845588047,0.03562721949001446,0.03680704322284322,0.03644579398765758,0.03101119543836294,0.03620603714907363,0.03620603714907362
RR,10000,0.056739301152158535,0.06335882334815912,0.06355727942969919,0.06532979903861019,0.06581845723960741,0.06482035755144959,0.0646147061716969,0.06461470617169691
RR,11000,0.030283306523088825,0.02814022170342727,0.028332243816329126,0.02793541396081821,0.02840291236958729,0.029798616559611697,0.02826062478610934,0.028260624786109342
RR,12000,0.08442322408620505,0.0883871259432264,0.088750781297116,0.09170458207790506,0.08639427017825252,0.09186970802084425,0.08887996696244792,0.08887996696244788
RR,13000,0.056099825942282244,0.06117444826151056,0.06092679673221487,0.05599776859789139,0.06051408070180687,0.056057575644899264,0.06096118415966791,0.06096118415966793
RR,14000,0.1022409216045275,0.10868339821805217,0.10806376721500072,0.10454334462628587,0.10345948657650196,0.10735318226350618,0.10927746445663347,0.10927746445663354
RR,15000,0.20867371169730242,0.21559700653633984,0.21309964516340504,0.22792187011272433,0.1881849370734136,0.20347455830450584,0.21478898266779678,0.21478898266779667
RR,16000,0.026236754792373005,0.026923973745097477,0.027182795070243227,0.027292546685571663,0.025424573882689924,0.027219629131421813,0.027683435767855223,0.027683435767855223
