n_ary,n_subset,strat_10,strat_25,strat_50,random_1,random_2,random_3,pairwise,fast_exact
RR,1000,0.1303424835205078,0.016245365142822266,0.018945932388305664,0.0042877197265625,0.0041964054107666016,0.004186391830444336,1.6980843544006348,4.232440233230591
RR,2000,0.025638818740844727,0.028666257858276367,0.032193899154663086,0.004264116287231445,0.004236459732055664,0.0042150020599365234,7.367416858673096,5.883243560791016
RR,3000,0.03838372230529785,0.038820505142211914,0.04330754280090332,0.004316568374633789,0.004277944564819336,0.00423884391784668,16.17308235168457,11.124103784561157
RR,4000,0.052500009536743164,0.05178570747375488,0.061856746673583984,0.004286766052246094,0.004243373870849609,0.004424095153808594,29.09173583984375,14.116427421569824
RR,5000,0.06599617004394531,0.06202435493469238,0.06470918655395508,0.004260540008544922,0.00425267219543457,0.004231452941894531,45.153454065322876,33.80441617965698
RR,6000,0.07511162757873535,0.07302021980285645,0.07675313949584961,0.0043582916259765625,0.0043184757232666016,0.004308462142944336,65.36206293106079,30.94271993637085
RR,7000,0.16953682899475098,0.0852353572845459,0.08826208114624023,0.004327535629272461,0.0043010711669921875,0.0042934417724609375,88.92834377288818,44.254040002822876
RR,8000,0.10277771949768066,0.09704208374023438,0.10075616836547852,0.004396200180053711,0.004330873489379883,0.004340410232543945,117.28203511238098,65.2616913318634
RR,9000,0.1126396656036377,0.1085505485534668,0.11208176612854004,0.004439592361450195,0.0044062137603759766,0.0044291019439697266,147.70173573493958,68.3908998966217
RR,10000,0.13791608810424805,0.130446195602417,0.1337895393371582,0.0051233768463134766,0.005118370056152344,0.005149126052856445,207.53537130355835,90.42335963249207
RR,11000,0.20510339736938477,0.20022201538085938,0.20572423934936523,0.005415439605712891,0.00534367561340332,0.0052449703216552734,257.409126996994,103.68782162666321
RR,12000,0.1529521942138672,0.15223073959350586,0.1557013988494873,0.005121469497680664,0.005071163177490234,0.005079984664916992,312.3062467575073,131.84327006340027
RR,13000,0.17018508911132812,0.1681842803955078,0.17976737022399902,0.005196332931518555,0.005179166793823242,0.005181312561035156,354.03062081336975,166.7378432750702
RR,14000,0.30348992347717285,0.29444169998168945,0.32239556312561035,0.005485057830810547,0.005405426025390625,0.00539851188659668,424.48492527008057,150.2371528148651
RR,15000,0.3930966854095459,0.3945021629333496,0.39580821990966797,0.0056171417236328125,0.005514383316040039,0.005499124526977539,542.0613126754761,148.81941652297974
RR,16000,0.2321310043334961,0.23342204093933105,0.22794055938720703,0.0045092105865478516,0.004443168640136719,0.004485368728637695,507.1000590324402,103.83125352859497
RR,17000,0.2048168182373047,0.2026817798614502,0.20600605010986328,0.004494428634643555,0.004383087158203125,0.004381656646728516,521.2449400424957,134.93331861495972
RR,18000,0.23087811470031738,0.22107148170471191,0.2191917896270752,0.00451207160949707,0.0044405460357666016,0.004420280456542969,591.1993982791901,146.03800630569458
RR,19000,0.22493314743041992,0.23412442207336426,0.22815632820129395,0.0047190189361572266,0.0044918060302734375,0.004477024078369141,643.7606341838837,159.00854110717773
RR,20000,0.23727965354919434,0.2394697666168213,0.23887872695922852,0.004556417465209961,0.004452943801879883,0.00458979606628418,743.8201403617859,174.95460176467896
RR,21000,0.26142430305480957,0.24782323837280273,0.27020692825317383,0.004557371139526367,0.00446772575378418,0.004469633102416992,822.871835231781,150.59486484527588
RR,22000,0.2630131244659424,0.2599353790283203,0.2640225887298584,0.004597187042236328,0.004551410675048828,0.00452733039855957,863.1896636486053,183.0512409210205
RR,23000,0.27406930923461914,0.2687995433807373,0.2720034122467041,0.004663944244384766,0.004486083984375,0.004492282867431641,952.975549697876,186.82264733314514
RR,24000,0.2849442958831787,0.28378844261169434,0.28613972663879395,0.00455164909362793,0.004509687423706055,0.004509925842285156,1066.6322586536407,279.82295274734497
RR,25000,0.45981526374816895,0.4620499610900879,0.4714646339416504,0.005411624908447266,0.005257129669189453,0.005197763442993164,1377.3913705348969,270.45281863212585
RR,26000,0.3377876281738281,0.3281536102294922,0.3327467441558838,0.004802703857421875,0.0047206878662109375,0.00474858283996582,1249.9904639720917,237.3386845588684
RR,27000,0.46696901321411133,0.46094298362731934,0.4722714424133301,0.005568981170654297,0.005557537078857422,0.005382061004638672,1732.3378639221191,209.91437315940857
RR,28000,0.36154818534851074,0.36409473419189453,0.3622293472290039,0.004858493804931641,0.004703998565673828,0.004700183868408203,1416.6244368553162,260.4928901195526
RR,29000,0.46819543838500977,0.4151296615600586,0.4123868942260742,0.00486445426940918,0.004751682281494141,0.004767179489135742,1649.0093870162964,278.0142560005188
RR,30000,0.36940455436706543,0.3663926124572754,0.36867618560791016,0.004990339279174805,0.0049207210540771484,0.0046117305755615234,1655.9235172271729,252.32423210144043
RR,31000,0.37025952339172363,0.36812567710876465,0.37216901779174805,0.0049021244049072266,0.004802227020263672,0.004821300506591797,1726.7380723953247,301.92303586006165
RR,32000,0.38147592544555664,0.3804972171783447,0.3880748748779297,0.004703044891357422,0.0045926570892333984,0.00460052490234375,1846.7181975841522,288.2713420391083
RR,33000,0.4894986152648926,0.4056203365325928,0.4106268882751465,0.00482940673828125,0.004811286926269531,0.0046656131744384766,2006.8344094753265,312.9968686103821
RR,34000,0.4210038185119629,0.4274156093597412,0.4242408275604248,0.00483250617980957,0.004755496978759766,0.004724025726318359,2132.639600753784,226.88442254066467
RR,35000,0.420565128326416,0.42516207695007324,0.4288978576660156,0.0048999786376953125,0.004873752593994141,0.004839181900024414,2188.765014410019,281.028466463089
RR,36000,0.42539191246032715,0.42276620864868164,0.4268462657928467,0.004698753356933594,0.004624843597412109,0.004584550857543945,2285.0953102111816,268.72202920913696
RR,37000,0.44217801094055176,0.4437713623046875,0.4473268985748291,0.004665851593017578,0.00461578369140625,0.0046308040618896484,2447.43226313591,282.19043946266174
RR,38000,0.4437267780303955,0.4415156841278076,0.44504809379577637,0.00471949577331543,0.004662513732910156,0.004667997360229492,2645.3794071674347,338.90136766433716
RR,39000,0.6701674461364746,0.47077441215515137,0.4671475887298584,0.004685163497924805,0.004637479782104492,0.004624843597412109,2710.249680519104,314.8552496433258
RR,40000,0.5000686645507812,0.5054781436920166,0.5095224380493164,0.005379915237426758,0.005240678787231445,0.0052032470703125,3392.8019728660583,407.37414288520813
RR,41000,0.5102508068084717,0.5027122497558594,0.5095710754394531,0.005370616912841797,0.0054531097412109375,0.005311012268066406,3417.2407987117767,355.57338309288025
RR,42000,1.1343886852264404,1.1287505626678467,1.1333656311035156,0.006295442581176758,0.006234169006347656,0.006223440170288086,3888.823951482773,336.77482557296753
RR,43000,0.6937854290008545,0.5095272064208984,0.5116972923278809,0.004756927490234375,0.0047152042388916016,0.004744768142700195,3328.0247027873993,364.46493911743164
RR,44000,0.5430846214294434,0.5441515445709229,0.5434238910675049,0.00555419921875,0.00550532341003418,0.0055158138275146484,3481.322269678116,259.2628173828125
RR,45000,0.8342189788818359,0.5987496376037598,0.5691637992858887,0.0049440860748291016,0.00473785400390625,0.004716157913208008,3613.7477509975433,288.14566826820374
RR,46000,0.5613081455230713,0.5333709716796875,0.5573859214782715,0.004802227020263672,0.0047605037689208984,0.004759311676025391,3876.801045179367,367.44868421554565
RR,47000,0.7300543785095215,0.559227705001831,0.5588259696960449,0.004813432693481445,0.0047626495361328125,0.004763603210449219,3899.561868429184,369.6289117336273
RR,48000,0.572791337966919,0.5839500427246094,0.5674936771392822,0.005023956298828125,0.004752635955810547,0.004789590835571289,4096.6926057338715,329.28499841690063
RR,49000,0.81553053855896,0.5757436752319336,0.5721738338470459,0.004828214645385742,0.00476384162902832,0.0047740936279296875,4380.9368851184845,411.03544521331787
RR,50000,0.9283263683319092,0.5783274173736572,0.5889472961425781,0.004925727844238281,0.004788398742675781,0.004797220230102539,5629.376080989838,396.359334230423
